cfg,variant,period,confirm,oV,oQ,oG,oM,oE,oX,oS,o_mom,dV,dQ,dG,dM,dE,dX,dS,d_mom,cal,cagr,mdd,total
1,dV+5,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,5,8,5,6m-1m,4.245,72.84,17.16,190.41
1,dV+5,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,5,8,5,6m-1m,1.962,70.5,35.93,185.82
1,dV+5,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,5,8,5,6m-1m,5.178,184.48,35.63,900.0
1,dV+5,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,5,8,5,6m-1m,2.626,102.0,38.84,20638.87
1,dV+5,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,5,8,5,6m-1m,2.992,106.61,35.63,4051.85
1,dG-5,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,5.0,55.00000000000001,5,8,5,6m-1m,-0.44,-17.57,39.93,-24.64
1,dG-5,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,5.0,55.00000000000001,5,8,5,6m-1m,1.698,61.21,36.05,155.99
1,dG-5,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,5.0,55.00000000000001,5,8,5,6m-1m,4.782,80.04,16.74,214.44
1,dG-5,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,5.0,55.00000000000001,5,8,5,6m-1m,1.496,77.26,51.65,7597.74
1,dG-5,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,5.0,55.00000000000001,5,8,5,6m-1m,7.195,225.03,31.28,1241.09
1,dG-5,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,5.0,55.00000000000001,5,8,5,6m-1m,3.215,116.07,36.11,5125.48
1,dG+5,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,15.0,45.0,5,8,5,6m-1m,2.336,83.72,35.84,143.66
1,dG+5,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,15.0,45.0,5,8,5,6m-1m,2.039,41.64,20.42,97.03
1,dG+5,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,15.0,45.0,5,8,5,6m-1m,2.218,75.43,34.02,202.32
1,dG+5,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,15.0,45.0,5,8,5,6m-1m,5.418,189.23,34.93,937.12
1,dG+5,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,15.0,45.0,5,8,5,6m-1m,2.574,92.23,35.84,14138.49
1,dG+5,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,15.0,45.0,5,8,5,6m-1m,2.633,91.96,34.93,2746.21
1,oE-1,2018H2-2019,7,15.0,5.0,50.0,30.0,2,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,1.671,65.87,39.41,109.81
1,oE-1,2022-2023,7,15.0,5.0,50.0,30.0,2,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,4.324,80.7,18.67,216.72
1,oE-1,2020-2021,7,15.0,5.0,50.0,30.0,2,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,3.015,102.83,34.1,302.26
1,oE-1,2024-2026,7,15.0,5.0,50.0,30.0,2,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,4.923,192.36,39.07,961.98
1,oE-1,5.25y,7,15.0,5.0,50.0,30.0,2,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,3.13,122.3,39.07,5945.94
1,oE-1,full,7,15.0,5.0,50.0,30.0,2,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.856,112.56,39.41,30424.65
1,oE+1,2018H2-2019,7,15.0,5.0,50.0,30.0,4,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,1.583,62.19,39.28,103.02
1,oE+1,2020-2021,7,15.0,5.0,50.0,30.0,4,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.414,81.82,33.9,224.37
1,oE+1,2022-2023,7,15.0,5.0,50.0,30.0,4,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,5.548,86.85,15.65,238.04
1,oE+1,2024-2026,7,15.0,5.0,50.0,30.0,4,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,5.48,189.86,34.65,942.14
1,oE+1,full,7,15.0,5.0,50.0,30.0,4,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.627,106.17,40.42,24120.23
1,oE+1,5.25y,7,15.0,5.0,50.0,30.0,4,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,3.533,122.4,34.65,5960.75
