ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,sharpe_78,sortino_78,total_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.8,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.276,60.72,47.59,1.305,2.04,3679.15,0.441,0.8780000000000001,0.3868608250242852,0.441,1.109,1.294,0.668
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.8,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.425,63.48,44.55,1.329,2.104,4206.42,0.44,0.87825,0.3864122943374615,0.44,0.763,1.381,0.929
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.8,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.345,66.42,49.38,1.355,2.114,4835.99,0.427,0.7922500000000001,0.37500635415203076,0.427,0.575,1.121,1.046
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.7,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.787,44.95,57.12,1.077,1.694,1614.28,0.414,0.78275,0.2986747971829714,0.414,0.766,1.039,0.912
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.154,54.18,46.95,1.21,1.875,2649.98,0.408,0.89525,0.31773814146306834,0.408,1.062,1.115,0.996
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.8,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.28,67.51,52.75,1.368,2.2,5087.76,0.406,0.611,0.33232283978430865,0.41,0.406,0.808,0.82
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.7,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.411,60.33,42.75,1.289,1.989,3609.79,0.405,0.778,0.43402783936502465,0.405,0.584,1.305,0.818
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.293,61.41,47.5,1.327,2.026,3805.63,0.402,0.7057500000000001,0.4880878178770124,0.408,0.402,1.244,0.769
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.7,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.057,53.56,50.66,1.198,1.904,2566.06,0.399,0.9187500000000001,0.4048814092148333,0.399,1.45,0.936,0.89
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.8,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.621,32.6,52.48,0.854,1.3,766.95,0.389,0.5375,0.31069906697919364,0.389,0.504,0.818,0.439
