v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
20,5,60,15,12m,5,15,3,-0.12,-0.15,,2.607,92.35,35.43,1.573,2.562,3.0
20,5,60,15,12m,5,15,3,-0.12,-0.15,0.65,2.607,92.35,35.43,1.573,2.562,3.0
20,5,60,15,12m,5,15,3,-0.12,-0.15,0.6,2.607,92.35,35.43,1.573,2.562,3.0
20,5,60,15,12m,5,15,3,-0.08,-0.15,0.6,2.607,90.71,34.8,1.536,2.519,3.0
20,5,60,15,12m,5,15,3,-0.08,-0.15,,2.607,90.71,34.8,1.536,2.519,3.0
20,5,60,15,12m,5,15,3,-0.08,-0.15,0.65,2.607,90.71,34.8,1.536,2.519,3.0
20,5,60,15,12m,5,8,7,-0.12,,,2.604,81.12,31.15,1.648,2.573,5.1
20,0,65,15,12m,5,12,3,-0.12,-0.15,0.65,2.604,91.35,35.08,1.558,2.587,3.0
20,0,65,15,12m,5,12,3,-0.12,-0.15,,2.604,91.35,35.08,1.558,2.587,3.0
20,5,60,15,12m,5,8,7,-0.12,,0.65,2.604,81.12,31.15,1.648,2.573,5.1
20,0,65,15,12m,5,12,3,-0.12,-0.15,0.6,2.604,91.35,35.08,1.558,2.587,3.0
20,5,60,15,12m,5,8,7,-0.12,,0.6,2.604,81.12,31.15,1.648,2.573,5.1
20,0,70,10,12m,7,12,3,,-0.15,0.65,2.603,105.09,40.36,1.711,2.775,3.0
20,0,70,10,12m,7,12,3,-0.12,-0.15,0.6,2.603,105.09,40.36,1.711,2.775,3.0
20,0,70,10,12m,7,12,3,,-0.15,0.6,2.603,105.09,40.36,1.711,2.775,3.0
20,0,70,10,12m,7,12,3,-0.12,-0.15,0.65,2.603,105.09,40.36,1.711,2.775,3.0
20,0,70,10,12m,7,12,3,-0.12,-0.15,,2.603,105.09,40.36,1.711,2.775,3.0
20,0,70,10,12m,7,12,3,,-0.15,,2.603,105.09,40.36,1.711,2.775,3.0
20,0,65,15,12m-1m,5,8,5,-0.08,,,2.6,79.16,30.45,1.623,2.585,4.7
10,0,70,20,12m-1m,5,8,3,-0.1,-0.15,0.65,2.6,102.27,39.33,1.665,2.62,3.0
10,0,70,20,12m-1m,5,8,3,-0.1,-0.15,0.6,2.6,102.27,39.33,1.665,2.62,3.0
20,0,65,15,12m-1m,5,8,5,-0.08,,0.6,2.6,79.16,30.45,1.623,2.585,4.7
20,0,65,15,12m-1m,5,8,5,-0.08,,0.65,2.6,79.16,30.45,1.623,2.585,4.7
20,0,70,10,12m-1m,5,12,3,-0.08,-0.15,0.6,2.6,96.19,36.99,1.625,2.66,3.0
10,0,70,20,12m-1m,5,8,3,-0.1,-0.15,,2.6,102.27,39.33,1.665,2.62,3.0
20,0,70,10,12m-1m,5,12,3,-0.08,-0.15,,2.6,96.19,36.99,1.625,2.66,3.0
20,0,70,10,12m-1m,5,12,3,-0.08,-0.15,0.65,2.6,96.19,36.99,1.625,2.66,3.0
10,0,70,20,12m-1m,5,8,5,-0.12,-0.15,,2.596,89.12,34.33,1.727,2.818,4.7
10,0,70,20,12m-1m,5,8,5,-0.12,-0.15,0.65,2.596,89.12,34.33,1.727,2.818,4.7
10,0,70,20,12m-1m,5,8,5,-0.12,-0.15,0.6,2.596,89.12,34.33,1.727,2.818,4.7
20,5,60,15,12m,5,8,3,-0.08,-0.15,0.65,2.595,93.13,35.89,1.553,2.504,3.0
20,5,60,15,12m,5,8,3,-0.08,-0.15,,2.595,93.13,35.89,1.553,2.504,3.0
20,5,60,15,12m,5,8,3,-0.08,-0.15,0.6,2.595,93.13,35.89,1.553,2.504,3.0
25,5,50,20,12m,5,12,3,-0.12,-0.15,0.65,2.594,82.87,31.95,1.509,2.39,3.0
25,5,50,20,12m,5,12,3,-0.12,-0.15,0.6,2.594,82.87,31.95,1.509,2.39,3.0
25,5,50,20,12m,5,12,3,-0.12,-0.15,,2.594,82.87,31.95,1.509,2.39,3.0
20,5,60,15,12m,5,8,7,,,0.6,2.59,80.66,31.15,1.644,2.563,5.1
20,5,60,15,12m,5,8,7,,,0.65,2.59,80.66,31.15,1.644,2.563,5.1
20,5,60,15,12m,5,8,7,,,,2.59,80.66,31.15,1.644,2.563,5.1
15,5,65,15,12m-1m,5,15,3,-0.1,-0.15,0.6,2.589,90.9,35.12,1.542,2.54,3.0
15,5,65,15,12m-1m,5,15,3,-0.1,-0.15,0.65,2.589,90.9,35.12,1.542,2.54,3.0
20,5,60,15,12m-1m,5,15,3,-0.12,-0.15,0.6,2.589,87.42,33.77,1.515,2.499,3.0
15,5,65,15,12m-1m,5,15,3,-0.1,-0.15,,2.589,90.9,35.12,1.542,2.54,3.0
20,5,60,15,12m-1m,5,15,3,-0.12,-0.15,,2.589,87.42,33.77,1.515,2.499,3.0
20,5,60,15,12m-1m,5,15,3,-0.12,-0.15,0.65,2.589,87.42,33.77,1.515,2.499,3.0
25,5,50,20,12m,7,12,3,,-0.15,,2.588,87.76,33.92,1.559,2.469,3.0
25,5,50,20,12m,7,12,3,,-0.15,0.6,2.588,87.76,33.92,1.559,2.469,3.0
25,5,50,20,12m,7,12,3,,-0.15,0.65,2.588,87.76,33.92,1.559,2.469,3.0
10,0,70,20,12m-1m,5,8,5,-0.1,-0.15,0.65,2.578,88.75,34.43,1.723,2.811,4.7
10,0,70,20,12m-1m,5,8,5,-0.1,-0.15,,2.578,88.75,34.43,1.723,2.811,4.7
10,0,70,20,12m-1m,5,8,5,-0.1,-0.15,0.6,2.578,88.75,34.43,1.723,2.811,4.7
20,0,65,15,12m,7,8,3,-0.12,-0.15,,2.576,95.36,37.02,1.604,2.68,3.0
20,0,65,15,12m-1m,5,8,5,-0.12,-0.2,0.6,2.576,78.43,30.45,1.61,2.567,4.7
20,0,65,15,12m-1m,5,8,5,-0.12,-0.2,0.65,2.576,78.43,30.45,1.61,2.567,4.7
20,0,65,15,12m-1m,5,8,5,-0.12,-0.2,,2.576,78.43,30.45,1.61,2.567,4.7
20,0,65,15,12m,7,8,3,-0.12,-0.15,0.6,2.576,95.36,37.02,1.604,2.68,3.0
20,0,65,15,12m,7,8,3,-0.12,-0.15,0.65,2.576,95.36,37.02,1.604,2.68,3.0
20,5,60,15,12m,5,12,3,-0.08,-0.15,0.6,2.575,89.63,34.8,1.53,2.508,3.0
20,5,60,15,12m,5,12,3,-0.08,-0.15,0.65,2.575,89.63,34.8,1.53,2.508,3.0
20,5,60,15,12m,5,12,3,-0.08,-0.15,,2.575,89.63,34.8,1.53,2.508,3.0
20,5,60,15,12m,5,8,7,-0.1,-0.2,,2.568,79.99,31.15,1.633,2.556,5.1
20,5,60,15,12m,5,8,7,-0.1,-0.2,0.65,2.568,79.99,31.15,1.633,2.556,5.1
20,5,60,15,12m,5,8,7,-0.1,-0.2,0.6,2.568,79.99,31.15,1.633,2.556,5.1
