atk,def,rule,cagr,mdd,cal,sh,sort,sw,boost
A4_3f_roo_G60M30,D2_2f_oar_V40G40,B126_30_5d,105.87,33.31,3.178,1.808,2.737,13,72.53685027152832
A5_3f_rog_G70M25,D5_2f_rao_M55,B126_40_5d,126.03,39.68,3.176,2.028,3.09,13,57.176105508145845
A7_2f_roc_G55M25,D2_2f_oar_V40G40,B126_30_5d,101.85,32.08,3.175,1.777,2.687,13,72.53685027152832
A3_3f_rog_G60M25,D6_2f_rvo_M60,B126_30_3d,103.87,32.74,3.173,1.75,2.733,17,73.31264546159814
A6_2f_oca_G60M25,D5_2f_rao_M55,KP_MA250_3d,116.64,36.77,3.172,1.951,3.091,15,48.09930178432894
A3_3f_rog_G60M25,D3_3f_roo_M60S7,KP_MA200_4d,111.8,35.29,3.168,1.913,3.04,15,53.68502715283165
A4_3f_roo_G60M30,D6_2f_rvo_M60,KP_MA150_2d,106.21,33.54,3.167,1.812,2.944,25,56.788207913110945
A4_3f_roo_G60M30,D3_3f_roo_M60S7,B126_35_4d,108.06,34.13,3.166,1.82,2.826,15,67.95965865011637
A5_3f_rog_G70M25,D4_3f_rog_M60S5,KP_MA120_5d,108.6,34.31,3.166,1.839,2.968,15,57.79674166020171
A4_3f_roo_G60M30,D3_3f_roo_M60S7,KK_MA60_3d,100.19,31.65,3.165,1.786,2.845,39,50.73700543056633
A6_2f_oca_G60M25,D2_2f_oar_V40G40,KP_MA250_3d,91.79,29.0,3.165,1.704,2.646,15,48.09930178432894
A5_3f_rog_G70M25,D3_3f_roo_M60S7,KK_MA60_3d,100.17,31.65,3.165,1.8,2.845,39,50.73700543056633
A3_3f_rog_G60M25,D7_3f_rog_E7S7,B126_35_4d,101.14,31.97,3.164,1.767,2.672,15,67.95965865011637
A4_3f_roo_G60M30,D3_3f_roo_M60S7,KK_MA120_3d,100.11,31.65,3.163,1.792,2.86,17,50.89216446858029
A3_3f_rog_G60M25,D6_2f_rvo_M60,KP_MA200_4d,112.58,35.59,3.163,1.898,3.034,15,53.68502715283165
A3_3f_rog_G60M25,D6_2f_rvo_M60,KP_MA120_5d,101.19,32.01,3.162,1.774,2.863,15,57.79674166020171
A6_2f_oca_G60M25,D1_3f_rog_M60S7,KP_MA60_5d,97.27,30.77,3.162,1.714,2.725,23,60.20170674941815
A7_2f_roc_G55M25,D4_3f_rog_M60S5,KK_MA120_5d,109.5,34.64,3.161,1.885,2.987,15,50.116369278510476
