v,q,g,m,g_rev,mom,calmar,cagr,mdd,sharpe,sortino
5,10,35,50,0.3,6m,1.474,65.7,44.57,1.429,2.152
15,0,45,40,0.7,12m,1.473,60.78,41.27,1.34,1.967
0,30,10,60,0.8,6m,1.473,50.35,34.17,1.245,1.789
0,10,40,50,0.3,12m,1.471,65.37,44.43,1.428,2.144
15,5,30,50,0.8,12m-1m,1.471,56.09,38.14,1.317,1.831
20,5,25,50,0.4,6m,1.47,56.76,38.62,1.297,1.81
25,5,55,15,0.4,12m,1.469,61.91,42.15,1.383,2.09
5,25,20,50,0.9,6m,1.469,51.1,34.79,1.244,1.803
10,10,35,45,0.4,6m,1.468,58.53,39.87,1.325,1.98
5,10,30,55,0.4,12m-1m,1.468,63.05,42.93,1.407,2.066
10,15,20,55,1.0,12m,1.468,54.34,37.02,1.275,1.768
0,20,25,55,0.7,6m,1.468,53.11,36.18,1.231,1.845
0,0,70,30,0.5,12m,1.467,61.67,42.04,1.324,2.016
20,15,30,35,0.5,12m,1.467,52.03,35.48,1.255,1.858
10,0,35,55,0.3,12m-1m,1.467,60.33,41.13,1.38,1.947
20,10,25,45,0.4,6m,1.467,54.91,37.42,1.273,1.795
0,10,45,45,0.3,6m-1m,1.466,66.82,45.56,1.423,2.227
5,5,60,30,0.5,12m,1.465,63.42,43.3,1.348,2.074
5,5,40,50,0.4,12m,1.464,63.27,43.23,1.381,2.073
10,15,20,55,0.8,12m,1.463,51.91,35.48,1.242,1.711
15,0,35,50,0.8,12m,1.462,55.89,38.24,1.296,1.819
0,25,15,60,0.8,6m-1m,1.462,47.49,32.49,1.193,1.737
0,20,20,60,0.6,6m,1.461,48.52,33.2,1.198,1.743
25,15,30,30,0.3,12m,1.46,55.54,38.04,1.292,1.921
5,25,10,60,1.0,6m,1.46,44.77,30.66,1.131,1.586
0,25,20,55,0.9,6m,1.46,46.03,31.54,1.157,1.672
20,15,20,45,0.5,6m-1m,1.46,53.15,36.41,1.276,1.769
15,10,35,40,0.3,6m-1m,1.46,58.44,40.03,1.339,2.019
10,10,35,45,0.5,12m,1.46,55.74,38.18,1.283,1.802
20,10,15,55,0.6,6m-1m,1.459,49.93,34.21,1.224,1.655
10,15,30,45,0.7,12m-1m,1.458,55.26,37.89,1.287,1.897
5,30,10,55,0.3,6m,1.458,49.03,33.62,1.239,1.812
