v,q,g,m,g_rev,mom,calmar,cagr,mdd,sharpe,sortino
10,25,25,40,0.9,12m-1m,0.614,27.81,45.29,0.806,1.175
20,0,55,25,0.3,6m-1m,0.614,30.8,50.17,0.863,1.274
25,5,15,55,0.5,12m-1m,0.614,25.12,40.95,0.779,1.025
20,30,5,45,0.4,6m-1m,0.614,32.78,53.37,0.941,1.331
20,5,55,20,0.9,12m-1m,0.614,31.1,50.69,0.862,1.244
10,20,35,35,0.7,6m-1m,0.614,31.1,50.66,0.853,1.208
15,35,10,40,0.8,6m-1m,0.614,32.67,53.18,0.934,1.342
25,20,20,35,0.8,12m,0.614,26.59,43.29,0.793,1.102
0,0,65,35,0.8,6m-1m,0.614,33.65,54.81,0.899,1.345
30,10,30,30,0.7,6m,0.614,28.85,46.99,0.838,1.169
10,25,35,30,1.0,6m,0.614,34.17,55.61,0.914,1.274
20,0,70,10,1.0,6m,0.613,29.09,47.45,0.818,1.162
15,15,40,30,0.5,12m,0.613,33.09,53.94,0.89,1.306
25,30,15,30,0.5,12m,0.613,24.35,39.73,0.753,1.028
20,15,45,20,0.8,6m-1m,0.613,28.76,46.89,0.834,1.218
5,20,40,35,0.8,12m-1m,0.613,34.72,56.65,0.914,1.327
10,25,5,60,0.5,6m-1m,0.613,34.08,55.62,0.962,1.365
15,15,50,20,0.4,6m-1m,0.613,35.12,57.25,0.927,1.343
10,25,35,30,0.5,6m,0.613,32.81,53.56,0.908,1.304
0,5,70,25,0.9,12m-1m,0.613,33.09,53.95,0.869,1.271
25,15,40,20,0.8,6m-1m,0.612,27.54,44.99,0.813,1.128
25,35,15,25,0.4,12m,0.612,28.26,46.19,0.844,1.191
15,25,35,25,0.7,6m,0.612,32.43,52.97,0.898,1.301
15,15,55,15,0.3,6m,0.612,39.8,65.06,1.009,1.433
25,20,20,35,0.9,12m-1m,0.612,22.93,37.49,0.724,1.011
25,0,45,30,0.8,6m,0.612,28.09,45.91,0.826,1.193
25,5,20,50,0.8,12m,0.612,24.82,40.56,0.76,1.006
10,20,10,60,0.6,6m-1m,0.611,31.23,51.15,0.891,1.233
5,5,60,30,0.9,6m-1m,0.611,27.98,45.77,0.793,1.151
25,5,30,40,0.3,12m-1m,0.611,29.64,48.54,0.854,1.178
20,0,55,25,0.8,6m,0.611,31.7,51.91,0.883,1.209
15,35,10,40,0.6,12m-1m,0.611,26.79,43.81,0.818,1.198
25,25,5,45,0.5,12m,0.611,21.75,35.61,0.727,0.97
20,20,5,55,0.5,12m,0.611,27.37,44.8,0.837,1.092
5,5,65,25,1.0,6m,0.611,33.26,54.41,0.884,1.269
25,10,20,45,0.8,6m,0.611,27.26,44.63,0.801,1.122
15,30,10,45,0.9,6m-1m,0.611,32.64,53.39,0.925,1.322
20,10,45,25,0.4,6m,0.611,33.83,55.34,0.923,1.33
10,5,25,60,0.9,6m-1m,0.61,29.39,48.16,0.846,1.152
10,5,65,20,1.0,12m-1m,0.61,33.95,55.65,0.903,1.303
20,5,55,20,0.4,6m,0.61,35.14,57.65,0.937,1.368
25,20,5,50,0.4,6m-1m,0.61,25.45,41.69,0.815,1.128
25,5,20,50,0.5,6m,0.61,27.55,45.15,0.807,1.107
20,15,35,30,0.9,12m,0.61,29.48,48.37,0.823,1.173
15,10,55,20,1.0,12m-1m,0.61,31.46,51.54,0.866,1.258
15,20,35,30,0.5,12m,0.61,33.76,55.35,0.915,1.324
10,25,5,60,0.5,12m-1m,0.61,24.96,40.93,0.781,1.033
20,10,15,55,0.6,12m,0.61,26.21,42.99,0.783,1.015
0,40,30,30,0.5,12m,0.61,37.67,61.76,0.977,1.443
15,0,65,20,0.5,6m-1m,0.61,31.72,52.02,0.876,1.289
10,20,40,30,1.0,6m,0.609,33.23,54.57,0.906,1.281
5,5,75,15,0.5,6m-1m,0.609,36.02,59.19,0.938,1.398
25,5,20,50,0.5,12m,0.609,24.78,40.67,0.757,0.98
15,15,40,30,0.9,6m,0.609,31.38,51.49,0.866,1.255
0,5,75,20,0.7,6m,0.609,33.87,55.62,0.896,1.314
30,0,20,50,1.0,12m,0.609,26.42,43.41,0.797,1.111
15,25,20,40,0.6,6m,0.608,31.14,51.25,0.883,1.239
20,20,25,35,0.5,12m-1m,0.608,27.75,45.68,0.817,1.113
0,15,30,55,1.0,6m-1m,0.608,25.41,41.78,0.767,1.062
25,0,35,40,0.3,12m-1m,0.608,32.01,52.68,0.905,1.332
25,10,15,50,0.8,6m,0.607,28.96,47.73,0.839,1.129
0,0,75,25,0.8,12m-1m,0.607,31.34,51.59,0.84,1.214
15,25,5,55,1.0,6m,0.607,29.45,48.52,0.866,1.191
25,15,20,40,0.3,12m-1m,0.607,25.95,42.78,0.799,1.134
10,20,35,35,1.0,6m,0.607,31.64,52.15,0.875,1.262
20,0,45,35,0.7,6m-1m,0.607,28.02,46.18,0.817,1.186
10,5,35,50,0.5,12m-1m,0.607,32.04,52.81,0.889,1.219
5,25,35,35,1.0,6m,0.607,32.39,53.35,0.88,1.248
5,5,75,15,1.0,12m,0.607,33.04,54.48,0.891,1.326
5,5,75,15,0.5,12m-1m,0.607,35.52,58.48,0.917,1.381
0,35,5,60,0.3,12m-1m,0.607,24.44,40.28,0.77,1.132
15,25,15,45,0.8,12m-1m,0.606,24.6,40.6,0.766,1.057
15,15,10,60,0.4,12m,0.606,26.52,43.79,0.803,1.133
25,0,50,25,0.7,12m-1m,0.606,30.19,49.85,0.858,1.25
5,5,30,60,1.0,6m-1m,0.606,30.52,50.39,0.863,1.171
15,25,5,55,1.0,12m-1m,0.606,24.27,40.06,0.777,1.078
20,10,40,30,1.0,12m-1m,0.606,28.43,46.9,0.821,1.152
10,10,55,25,0.4,6m,0.606,35.6,58.78,0.937,1.411
0,5,35,60,0.5,6m,0.606,29.34,48.44,0.84,1.181
10,5,60,25,0.9,12m-1m,0.606,33.04,54.56,0.886,1.272
10,15,45,30,0.9,12m-1m,0.605,28.41,46.92,0.817,1.2
15,15,10,60,0.4,12m-1m,0.605,23.27,38.48,0.745,1.04
15,5,20,60,0.5,12m,0.605,24.8,40.97,0.772,1.09
25,15,5,55,0.8,12m,0.605,27.83,46.03,0.835,1.061
15,10,35,40,0.9,6m,0.605,31.82,52.61,0.875,1.266
20,15,40,25,1.0,12m,0.604,26.99,44.73,0.784,1.139
15,10,15,60,0.9,6m,0.604,29.72,49.24,0.854,1.199
10,15,50,25,0.5,6m,0.604,35.06,58.06,0.926,1.377
10,30,40,20,1.0,12m,0.604,31.32,51.9,0.882,1.265
10,10,55,25,0.3,6m,0.603,33.42,55.39,0.906,1.386
0,30,50,20,0.7,12m,0.603,35.15,58.27,0.932,1.351
15,25,5,55,0.4,12m,0.603,28.73,47.67,0.854,1.178
5,10,25,60,0.6,12m-1m,0.603,25.95,43.02,0.78,1.079
15,20,35,30,0.8,6m,0.603,29.98,49.74,0.85,1.231
0,5,70,25,0.9,12m,0.603,33.17,55.01,0.874,1.239
25,10,25,40,0.9,12m-1m,0.603,25.1,41.61,0.768,1.047
5,25,45,25,0.9,12m,0.603,32.94,54.65,0.892,1.296
10,10,25,55,0.5,6m-1m,0.603,28.57,47.38,0.829,1.133
20,0,40,40,0.6,6m-1m,0.602,25.97,43.16,0.774,1.12
20,25,25,30,0.4,6m-1m,0.602,29.35,48.79,0.846,1.235
20,5,50,25,0.4,6m-1m,0.602,31.02,51.56,0.86,1.267
15,30,5,50,0.4,6m-1m,0.602,30.83,51.21,0.901,1.249
25,0,45,30,1.0,12m,0.602,27.64,45.88,0.813,1.163
20,30,10,40,0.6,12m-1m,0.601,26.92,44.76,0.826,1.216
25,5,45,25,1.0,12m-1m,0.601,28.75,47.81,0.832,1.19
5,5,65,25,1.0,6m-1m,0.601,30.17,50.24,0.838,1.18
15,25,35,25,0.6,6m-1m,0.601,28.47,47.38,0.814,1.177
5,25,10,60,0.4,12m,0.601,24.45,40.7,0.754,1.053
15,0,35,50,1.0,6m,0.601,27.85,46.3,0.807,1.122
10,25,35,30,0.7,6m,0.601,33.09,55.09,0.899,1.291
15,25,30,30,0.5,6m-1m,0.601,27.52,45.8,0.812,1.189
0,25,15,60,1.0,12m,0.601,27.49,45.77,0.804,1.126
15,25,30,30,0.6,12m-1m,0.601,27.88,46.39,0.809,1.142
15,25,5,55,0.9,6m,0.601,29.04,48.3,0.859,1.176
15,25,5,55,0.5,6m-1m,0.601,34.02,56.6,0.974,1.397
25,25,20,30,0.8,12m,0.601,28.39,47.24,0.828,1.125
0,5,65,30,1.0,6m,0.601,33.19,55.2,0.886,1.325
0,5,70,25,1.0,12m-1m,0.6,31.7,52.8,0.854,1.236
25,15,10,50,0.8,12m,0.6,30.83,51.4,0.882,1.116
20,0,40,40,0.9,12m-1m,0.6,33.03,55.09,0.91,1.353
5,5,70,20,0.9,6m,0.6,36.41,60.65,0.947,1.397
25,10,20,45,0.5,12m,0.6,24.0,39.99,0.738,0.962
20,15,45,20,0.7,12m,0.6,29.12,48.51,0.836,1.245
25,15,20,40,0.9,12m-1m,0.6,25.58,42.62,0.78,1.079
20,10,25,45,1.0,6m,0.6,28.5,47.5,0.823,1.139
0,0,70,30,0.9,6m,0.6,33.3,55.47,0.884,1.342
25,20,25,30,0.7,6m,0.6,26.54,44.24,0.795,1.102
25,15,10,50,0.9,6m,0.6,30.84,51.39,0.887,1.196
15,35,10,40,0.9,6m,0.6,30.42,50.72,0.877,1.254
20,5,50,25,0.8,6m,0.599,30.66,51.15,0.864,1.227
20,5,50,25,0.8,12m-1m,0.599,33.39,55.7,0.903,1.323
15,25,25,35,1.0,6m,0.599,33.35,55.69,0.908,1.292
25,15,15,45,0.3,6m-1m,0.599,32.58,54.41,0.933,1.248
25,10,35,30,0.7,12m-1m,0.599,26.37,44.0,0.786,1.1
25,5,55,15,0.8,6m,0.599,33.38,55.73,0.897,1.302
15,20,30,35,1.0,6m,0.598,28.71,47.97,0.826,1.152
0,20,60,20,0.7,6m,0.598,35.57,59.47,0.925,1.356
10,5,45,40,0.9,6m-1m,0.598,28.22,47.15,0.816,1.195
0,10,40,50,1.0,6m-1m,0.598,27.54,46.08,0.805,1.183
5,0,70,25,1.0,12m-1m,0.598,31.13,52.03,0.853,1.228
20,15,40,25,0.5,6m-1m,0.598,22.78,38.1,0.718,1.021
20,10,40,30,0.8,6m-1m,0.597,26.55,44.47,0.798,1.138
10,15,15,60,0.5,12m-1m,0.597,24.07,40.31,0.757,1.055
5,0,75,20,1.0,12m-1m,0.597,30.08,50.37,0.836,1.19
25,15,45,15,0.7,12m-1m,0.597,28.31,47.44,0.825,1.219
15,15,50,20,0.8,12m-1m,0.597,29.43,49.32,0.83,1.198
15,15,50,20,1.0,6m-1m,0.597,28.47,47.72,0.812,1.114
25,5,40,30,0.9,12m,0.597,28.23,47.32,0.812,1.182
25,10,20,45,0.7,12m-1m,0.597,24.74,41.43,0.77,1.063
0,30,50,20,1.0,12m,0.596,34.59,58.08,0.92,1.329
20,10,15,55,0.8,12m,0.596,24.91,41.77,0.766,1.011
10,10,55,25,0.4,6m-1m,0.596,36.62,61.47,0.943,1.357
0,5,65,30,0.9,6m-1m,0.596,31.77,53.27,0.856,1.265
20,10,15,55,0.9,12m,0.595,23.61,39.69,0.737,0.95
25,10,25,40,0.6,6m,0.595,25.83,43.44,0.77,1.099
10,30,30,30,0.7,6m,0.595,33.67,56.6,0.913,1.321
15,15,10,60,0.3,12m,0.595,26.07,43.85,0.796,1.113
15,15,45,25,1.0,6m-1m,0.594,26.57,44.72,0.786,1.1
25,15,10,50,1.0,6m,0.594,29.25,49.25,0.854,1.157
15,20,35,30,1.0,6m-1m,0.594,25.24,42.51,0.76,1.064
20,20,25,35,1.0,12m,0.594,26.32,44.28,0.777,1.08
20,25,15,40,0.4,6m-1m,0.594,28.83,48.53,0.85,1.183
20,35,10,35,0.6,6m-1m,0.594,30.38,51.15,0.894,1.306
25,20,5,50,0.7,12m-1m,0.594,25.03,42.16,0.801,1.048
25,20,10,45,0.7,12m-1m,0.594,27.84,46.88,0.854,1.163
25,15,20,40,0.5,6m,0.594,29.23,49.24,0.844,1.154
15,20,5,60,1.0,6m-1m,0.594,30.74,51.78,0.902,1.255
20,5,55,20,0.9,6m,0.594,32.66,54.99,0.889,1.291
15,5,35,45,0.8,6m,0.594,24.17,40.67,0.732,1.037
15,25,30,30,0.6,6m,0.593,32.24,54.41,0.889,1.248
20,20,25,35,0.9,6m-1m,0.593,23.59,39.76,0.731,1.013
20,5,15,60,0.8,6m,0.593,30.84,52.05,0.879,1.207
25,5,40,30,0.8,12m-1m,0.593,31.3,52.82,0.881,1.3
20,5,40,35,1.0,6m,0.593,31.11,52.45,0.866,1.246
5,20,15,60,0.9,12m-1m,0.593,24.04,40.52,0.749,1.028
25,15,15,45,1.0,12m,0.593,23.34,39.33,0.741,1.033
10,0,50,40,1.0,6m-1m,0.593,26.86,45.33,0.798,1.201
5,0,65,30,0.9,6m,0.593,30.99,52.29,0.845,1.241
25,10,45,20,0.4,6m-1m,0.592,29.42,49.73,0.846,1.251
10,20,40,30,0.7,6m,0.592,32.93,55.59,0.889,1.318
15,15,10,60,0.6,6m-1m,0.592,30.65,51.75,0.89,1.232
25,10,25,40,0.8,12m-1m,0.592,24.79,41.85,0.761,1.058
25,20,10,45,0.8,12m-1m,0.592,26.68,45.08,0.83,1.114
10,15,40,35,1.0,6m,0.592,29.89,50.45,0.841,1.212
15,10,50,25,0.3,6m-1m,0.592,35.65,60.22,0.949,1.421
15,0,55,30,0.3,6m,0.592,30.41,51.34,0.846,1.244
20,0,70,10,0.5,12m,0.591,37.86,64.1,0.973,1.428
20,5,25,50,1.0,6m,0.591,29.08,49.21,0.841,1.14
25,0,35,40,0.5,12m,0.591,26.65,45.09,0.792,1.109
5,0,75,20,0.5,6m-1m,0.591,31.3,52.92,0.861,1.239
20,5,35,40,0.8,6m,0.591,23.89,40.41,0.73,1.034
15,25,30,30,0.8,12m,0.59,30.41,51.51,0.853,1.231
15,35,5,45,0.7,12m-1m,0.59,23.8,40.31,0.762,1.118
10,35,15,40,1.0,12m-1m,0.59,29.84,50.58,0.857,1.228
20,5,45,30,1.0,6m,0.59,30.04,50.89,0.843,1.207
20,5,50,25,0.9,12m,0.59,30.51,51.68,0.863,1.239
20,10,45,25,0.3,6m,0.59,33.38,56.6,0.901,1.297
15,15,10,60,0.8,6m-1m,0.59,29.42,49.87,0.864,1.203
5,0,65,30,1.0,6m-1m,0.59,28.46,48.21,0.812,1.141
30,20,20,30,1.0,12m,0.59,23.83,40.42,0.747,1.06
20,20,30,30,0.7,12m,0.589,30.63,52.0,0.858,1.203
0,5,70,25,0.8,6m-1m,0.589,32.2,54.64,0.861,1.24
15,35,5,45,0.6,6m,0.589,29.26,49.65,0.852,1.188
15,15,45,25,0.3,12m,0.589,34.99,59.39,0.928,1.386
0,0,75,25,0.7,6m,0.589,30.39,51.6,0.838,1.222
15,25,35,25,0.3,6m-1m,0.588,30.15,51.24,0.838,1.254
25,5,25,45,0.3,12m-1m,0.588,26.33,44.77,0.798,1.097
20,25,20,35,0.7,12m-1m,0.588,28.33,48.21,0.82,1.127
20,0,55,25,0.7,6m-1m,0.588,28.81,48.99,0.827,1.215
15,30,5,50,0.8,6m-1m,0.588,32.34,55.03,0.93,1.31
10,25,5,60,1.0,6m-1m,0.588,34.31,58.3,0.962,1.371
25,15,40,20,0.6,12m,0.588,30.67,52.18,0.867,1.23
25,15,40,20,0.5,12m,0.588,26.59,45.26,0.788,1.134
25,10,45,20,1.0,12m,0.588,30.12,51.21,0.844,1.21
15,25,35,25,0.3,12m-1m,0.587,30.63,52.19,0.844,1.243
25,10,25,40,0.7,6m,0.587,23.75,40.49,0.73,1.039
20,30,5,45,0.7,12m-1m,0.587,26.69,45.43,0.83,1.191
10,0,65,25,1.0,12m-1m,0.587,30.11,51.28,0.839,1.199
15,10,15,60,0.8,6m,0.587,31.15,53.05,0.877,1.207
25,0,55,20,0.8,6m-1m,0.587,33.4,56.93,0.918,1.339
25,15,20,40,0.7,12m-1m,0.587,26.82,45.67,0.809,1.095
20,0,70,10,0.5,6m,0.587,36.32,61.84,0.943,1.395
15,5,20,60,0.6,6m,0.587,26.29,44.77,0.789,1.071
0,5,55,40,0.5,12m-1m,0.587,30.2,51.46,0.842,1.199
15,15,50,20,0.3,6m,0.586,33.43,57.02,0.909,1.357
15,5,50,30,0.4,6m,0.586,33.15,56.59,0.896,1.289
5,0,35,60,0.9,6m-1m,0.586,28.93,49.38,0.837,1.162
15,20,5,60,0.5,12m-1m,0.586,25.25,43.06,0.793,1.093
25,25,20,30,0.6,12m-1m,0.586,25.76,43.99,0.784,1.127
25,10,45,20,0.3,6m-1m,0.586,28.15,48.06,0.821,1.217
10,20,50,20,0.5,6m,0.586,32.63,55.69,0.887,1.277
40,20,30,10,0.7,12m,0.585,26.63,45.49,0.815,1.222
25,0,35,40,0.4,6m-1m,0.585,27.49,47.01,0.81,1.127
25,20,25,30,0.4,6m-1m,0.585,27.62,47.19,0.814,1.169
10,25,5,60,0.9,6m-1m,0.585,34.3,58.6,0.966,1.37
15,35,5,45,0.8,6m,0.585,30.64,52.38,0.883,1.243
20,0,50,30,0.8,6m,0.585,29.99,51.24,0.849,1.256
5,25,45,25,1.0,6m,0.585,31.99,54.66,0.886,1.27
25,5,30,40,1.0,12m-1m,0.585,23.37,39.98,0.729,0.997
25,10,30,35,0.9,12m,0.585,25.56,43.72,0.764,1.089
25,20,5,50,0.5,12m-1m,0.585,25.4,43.43,0.815,1.041
15,5,65,15,0.4,6m-1m,0.585,35.78,61.12,0.937,1.352
15,30,5,50,0.3,12m-1m,0.585,24.76,42.32,0.79,1.121
10,10,50,30,1.0,6m,0.584,30.76,52.66,0.854,1.263
15,5,60,20,0.8,12m-1m,0.584,33.68,57.65,0.893,1.299
10,25,5,60,0.7,6m-1m,0.584,33.64,57.63,0.95,1.348
0,5,70,25,0.8,6m,0.584,30.6,52.36,0.84,1.199
25,15,30,30,0.6,6m,0.584,27.92,47.84,0.822,1.181
5,5,30,60,1.0,6m,0.584,29.62,50.73,0.843,1.142
10,5,65,20,0.4,6m-1m,0.584,36.42,62.35,0.936,1.35
25,15,10,50,0.3,12m,0.584,25.67,43.98,0.787,1.004
25,25,5,45,0.4,12m,0.584,21.48,36.78,0.719,0.971
25,10,15,50,0.9,6m,0.584,28.54,48.85,0.827,1.094
20,20,5,55,0.3,6m-1m,0.584,30.7,52.52,0.913,1.274
15,20,5,60,0.7,6m-1m,0.583,29.43,50.51,0.877,1.215
25,15,30,30,0.3,6m-1m,0.583,28.96,49.64,0.839,1.219
20,10,40,30,0.7,6m,0.583,31.18,53.52,0.866,1.246
30,20,20,30,0.5,12m,0.583,26.29,45.08,0.789,1.085
20,30,5,45,0.9,12m-1m,0.582,25.4,43.61,0.807,1.167
25,0,40,35,0.4,6m-1m,0.582,30.57,52.57,0.867,1.254
20,5,35,40,0.8,6m-1m,0.582,25.03,43.01,0.76,1.098
20,25,5,50,0.5,6m-1m,0.582,30.51,52.45,0.908,1.257
20,5,55,20,0.6,12m-1m,0.582,35.19,60.47,0.931,1.333
10,5,60,25,0.9,6m,0.582,29.76,51.12,0.826,1.194
5,0,75,20,0.8,6m-1m,0.582,33.33,57.29,0.886,1.294
15,20,30,35,0.8,12m-1m,0.581,30.38,52.31,0.854,1.191
15,15,45,25,0.4,6m,0.581,31.01,53.41,0.857,1.22
20,25,5,50,0.7,6m-1m,0.581,31.29,53.84,0.923,1.297
15,20,5,60,0.8,6m-1m,0.581,29.76,51.21,0.887,1.228
10,0,45,45,1.0,6m-1m,0.581,24.66,42.44,0.752,1.085
15,25,5,55,0.4,6m-1m,0.58,31.86,54.93,0.926,1.308
20,30,15,35,0.7,6m,0.58,28.57,49.23,0.847,1.184
0,30,10,60,0.9,12m,0.58,26.05,44.9,0.788,1.136
10,30,15,45,0.6,12m-1m,0.58,23.93,41.29,0.75,1.083
15,0,60,25,0.9,6m-1m,0.58,28.7,49.48,0.817,1.165
25,15,35,25,0.4,6m-1m,0.58,25.15,43.35,0.771,1.12
25,5,15,55,0.9,12m,0.58,24.49,42.21,0.761,0.979
20,30,5,45,0.3,6m-1m,0.579,31.09,53.7,0.91,1.286
10,30,5,55,0.7,6m-1m,0.579,31.03,53.62,0.899,1.299
0,15,55,30,0.6,6m-1m,0.579,29.93,51.7,0.833,1.232
0,0,70,30,0.8,12m-1m,0.579,30.14,52.06,0.825,1.215
25,10,25,40,0.8,6m-1m,0.579,22.44,38.72,0.71,0.979
10,0,65,25,0.9,12m,0.579,34.32,59.28,0.904,1.297
5,0,70,25,0.8,6m,0.579,30.2,52.13,0.834,1.217
20,15,35,30,0.8,6m-1m,0.579,27.97,48.29,0.812,1.131
25,10,20,45,0.9,12m-1m,0.578,25.24,43.67,0.78,1.072
20,0,70,10,0.7,6m,0.578,35.98,62.19,0.94,1.423
15,25,5,55,0.6,12m-1m,0.578,24.97,43.22,0.792,1.093
15,35,5,45,0.4,6m,0.578,29.0,50.16,0.848,1.191
25,10,45,20,0.5,12m,0.578,28.1,48.62,0.821,1.173
25,15,25,35,0.8,6m-1m,0.578,23.97,41.45,0.742,1.032
25,15,25,35,0.8,6m,0.577,27.13,47.04,0.801,1.125
25,5,50,20,0.7,6m-1m,0.577,28.7,49.75,0.833,1.193
10,40,20,30,1.0,6m,0.577,31.9,55.27,0.899,1.289
15,5,50,30,0.8,6m-1m,0.577,26.36,45.65,0.78,1.144
25,5,20,50,0.9,12m,0.576,25.91,45.0,0.769,1.011
25,15,30,30,0.9,12m,0.576,28.22,48.99,0.819,1.167
0,0,75,25,0.8,12m,0.576,31.54,54.78,0.843,1.23
15,25,30,30,0.9,6m,0.575,28.71,49.91,0.825,1.161
10,5,55,30,0.9,6m-1m,0.575,25.43,44.24,0.765,1.124
20,20,5,55,0.8,6m-1m,0.575,29.69,51.61,0.89,1.22
0,25,40,35,0.9,6m,0.575,32.91,57.21,0.886,1.274
25,25,15,35,0.9,12m-1m,0.575,22.19,38.55,0.715,0.991
0,40,40,20,0.7,6m,0.575,33.21,57.71,0.904,1.359
25,35,15,25,0.6,12m,0.574,25.72,44.81,0.786,1.073
20,20,10,50,0.3,12m-1m,0.574,23.69,41.29,0.766,1.033
25,15,30,30,0.5,6m,0.574,26.87,46.84,0.794,1.073
25,5,25,45,1.0,12m,0.574,28.68,50.0,0.841,1.16
20,10,30,40,1.0,6m-1m,0.574,25.47,44.37,0.766,1.068
20,20,20,40,0.3,6m-1m,0.574,31.29,54.47,0.89,1.251
5,15,55,25,0.6,6m,0.574,33.54,58.43,0.893,1.29
15,25,30,30,0.6,12m,0.574,32.11,55.94,0.878,1.28
25,15,15,45,0.9,12m,0.574,24.78,43.15,0.768,1.044
20,15,15,50,0.3,12m,0.574,27.56,47.99,0.818,1.091
0,0,50,50,1.0,6m,0.573,29.39,51.26,0.836,1.178
20,5,55,20,0.9,6m-1m,0.573,27.82,48.57,0.807,1.145
20,30,15,35,0.8,6m,0.573,28.17,49.21,0.838,1.156
25,20,10,45,0.6,6m,0.573,29.56,51.62,0.868,1.163
20,25,20,35,0.9,6m-1m,0.573,26.2,45.76,0.787,1.079
25,15,10,50,0.8,6m-1m,0.572,25.63,44.84,0.81,1.115
20,10,15,55,0.5,12m,0.572,24.25,42.37,0.751,0.951
0,15,35,50,0.9,6m-1m,0.572,25.22,44.11,0.757,1.085
25,10,20,45,0.4,12m-1m,0.572,26.2,45.79,0.804,1.106
15,0,60,25,0.9,6m,0.571,29.94,52.41,0.852,1.217
20,0,45,35,1.0,12m-1m,0.571,29.94,52.4,0.861,1.251
15,25,35,25,1.0,6m-1m,0.571,25.03,43.84,0.766,1.097
25,15,35,25,0.7,6m-1m,0.571,28.37,49.7,0.827,1.176
15,0,50,35,0.9,6m,0.571,27.99,49.05,0.807,1.178
15,10,55,20,1.0,6m,0.57,29.41,51.64,0.83,1.181
25,20,25,30,1.0,12m-1m,0.57,28.66,50.28,0.829,1.196
20,10,45,25,0.6,6m-1m,0.57,27.1,47.52,0.795,1.159
15,25,35,25,0.7,12m-1m,0.569,29.6,52.05,0.833,1.189
15,15,50,20,0.3,12m,0.569,35.73,62.84,0.938,1.447
25,10,15,50,0.4,12m,0.569,22.14,38.9,0.712,0.892
20,15,45,20,0.4,6m,0.569,28.74,50.49,0.82,1.193
25,10,25,40,0.8,6m,0.569,23.37,41.07,0.722,1.005
25,5,50,20,0.5,12m-1m,0.569,31.56,55.45,0.886,1.299
10,15,55,20,0.8,12m-1m,0.569,35.4,62.17,0.922,1.311
20,25,5,50,0.8,6m,0.568,24.92,43.83,0.774,1.059
20,10,40,30,0.4,6m-1m,0.568,28.57,50.28,0.82,1.154
5,0,75,20,1.0,6m,0.568,27.46,48.35,0.78,1.128
5,0,65,30,0.8,6m-1m,0.568,30.27,53.28,0.838,1.214
25,0,35,40,0.3,6m-1m,0.568,27.41,48.3,0.806,1.144
15,25,5,55,0.6,6m-1m,0.568,32.6,57.4,0.942,1.338
20,25,20,35,0.8,6m-1m,0.568,27.64,48.66,0.821,1.143
10,5,60,25,1.0,6m,0.568,28.8,50.75,0.813,1.145
20,15,45,20,0.5,12m-1m,0.568,24.08,42.37,0.744,1.062
10,15,55,20,0.5,6m,0.568,30.3,53.37,0.85,1.244
25,0,50,25,0.8,6m,0.568,29.22,51.44,0.847,1.215
0,10,55,35,0.5,12m-1m,0.568,29.08,51.23,0.824,1.24
15,35,15,35,0.8,6m-1m,0.568,28.05,49.39,0.835,1.191
0,5,60,35,0.9,6m-1m,0.568,29.16,51.35,0.813,1.223
20,0,50,30,0.8,6m-1m,0.568,24.89,43.81,0.755,1.126
5,0,75,20,0.8,6m,0.568,30.46,53.62,0.831,1.211
20,30,5,45,0.6,12m-1m,0.568,25.19,44.34,0.799,1.142
25,15,35,25,0.4,12m-1m,0.567,28.57,50.36,0.824,1.152
20,20,5,55,0.7,6m-1m,0.567,29.67,52.31,0.888,1.22
25,15,20,40,0.7,6m-1m,0.567,27.56,48.65,0.809,1.102
25,5,50,20,0.7,12m,0.566,29.58,52.25,0.84,1.216
25,15,45,15,0.4,6m,0.566,29.37,51.89,0.845,1.233
20,30,15,35,0.5,6m,0.566,27.52,48.66,0.825,1.137
20,5,50,25,0.3,6m-1m,0.566,32.53,57.46,0.894,1.299
15,5,50,30,1.0,6m,0.566,28.78,50.87,0.822,1.183
15,30,10,45,0.4,12m-1m,0.566,22.8,40.26,0.742,1.063
15,25,35,25,0.7,12m,0.566,29.2,51.56,0.83,1.194
20,5,15,60,0.5,12m-1m,0.566,23.29,41.18,0.748,0.991
25,10,40,25,0.5,6m,0.566,28.85,50.96,0.841,1.194
25,5,45,25,0.7,12m-1m,0.566,29.43,51.98,0.849,1.227
10,40,20,30,0.7,6m,0.566,31.11,54.91,0.871,1.292
0,0,75,25,1.0,12m,0.566,29.53,52.2,0.81,1.149
10,25,25,40,0.3,12m-1m,0.565,29.37,51.98,0.83,1.202
10,15,15,60,0.4,12m-1m,0.565,26.01,46.02,0.794,1.105
20,30,15,35,0.4,6m-1m,0.565,30.4,53.82,0.898,1.273
20,25,15,40,1.0,6m,0.565,24.99,44.28,0.753,1.036
15,10,55,20,0.8,6m,0.565,32.97,58.37,0.887,1.315
25,15,15,45,0.8,6m-1m,0.565,30.13,53.34,0.863,1.133
10,30,30,30,0.5,12m,0.564,29.94,53.09,0.838,1.213
10,15,50,25,0.4,6m,0.564,31.67,56.12,0.871,1.309
5,0,35,60,1.0,6m-1m,0.564,28.63,50.73,0.832,1.14
15,15,10,60,0.7,6m-1m,0.564,28.22,50.07,0.84,1.166
5,5,70,20,0.9,12m-1m,0.564,31.13,55.15,0.849,1.252
