v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
15,10,65,10,6m,1.447,52.97,36.62,1.219,1.861
30,15,30,25,12m-1m,1.447,43.14,29.81,1.13,1.647
10,15,50,25,12m-1m,1.446,55.82,38.61,1.266,1.953
5,10,60,25,12m,1.446,63.06,43.61,1.364,2.173
5,10,35,50,6m,1.446,56.44,39.04,1.307,1.981
15,0,35,50,6m-1m,1.445,49.81,34.48,1.226,1.822
15,0,70,15,6m,1.445,60.11,41.6,1.342,2.124
5,30,10,55,12m-1m,1.444,48.32,33.46,1.222,1.76
0,20,45,35,6m,1.444,66.84,46.28,1.446,2.182
30,5,25,40,12m-1m,1.442,49.58,34.39,1.272,1.888
5,5,55,35,12m,1.44,61.62,42.79,1.361,2.112
15,10,50,25,6m,1.44,55.43,38.5,1.276,1.941
25,15,20,40,12m-1m,1.44,43.87,30.46,1.174,1.663
10,5,60,25,12m,1.44,60.14,41.76,1.345,2.13
0,15,45,40,6m,1.439,62.05,43.12,1.364,2.082
5,10,50,35,12m-1m,1.438,53.71,37.35,1.259,1.938
0,10,45,45,12m,1.438,61.89,43.03,1.379,2.163
25,10,30,35,12m,1.438,48.71,33.88,1.203,1.736
0,15,25,60,6m-1m,1.438,48.14,33.49,1.207,1.758
30,5,30,35,12m,1.436,45.7,31.81,1.178,1.749
5,10,40,45,6m,1.436,56.14,39.1,1.295,1.956
10,0,45,45,12m-1m,1.436,53.86,37.5,1.273,1.903
5,0,60,35,12m,1.435,70.06,48.83,1.482,2.31
0,10,35,55,6m,1.434,59.61,41.58,1.353,2.062
