v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
15,10,25,50,0.6,6m-1m,6,9,4,65.38,37.74,1.733,1.405
15,5,30,50,0.6,6m-1m,6,7,7,65.08,37.67,1.728,1.483
15,5,30,50,0.6,6m-1m,6,8,5,70.99,41.09,1.728,1.529
15,10,25,50,0.7,6m-1m,5,9,4,68.85,39.92,1.724,1.451
25,5,35,35,0.3,6m-1m,6,7,7,55.26,32.09,1.722,1.352
15,5,25,55,0.7,6m-1m,6,9,5,66.42,38.83,1.711,1.488
10,15,25,50,0.3,6m-1m,5,8,4,62.57,36.6,1.71,1.383
20,5,25,50,0.5,6m-1m,6,7,7,62.76,36.72,1.709,1.447
20,5,25,50,0.6,6m-1m,4,7,4,74.15,43.38,1.709,1.518
20,15,25,40,0.4,6m,6,9,7,52.54,30.75,1.709,1.302
20,15,25,40,0.4,6m,4,9,7,58.64,34.3,1.709,1.313
15,5,30,50,0.6,6m-1m,4,8,4,61.19,35.85,1.707,1.342
20,15,25,40,0.4,6m,4,9,6,57.78,33.9,1.704,1.299
25,10,20,45,0.4,6m-1m,5,7,4,64.47,37.89,1.702,1.42
20,5,25,50,0.6,6m-1m,6,9,4,68.9,40.57,1.698,1.467
25,5,35,35,0.3,6m-1m,6,8,7,54.07,31.86,1.697,1.347
25,10,20,45,0.4,6m-1m,5,9,6,60.83,35.93,1.693,1.44
15,15,25,45,0.3,6m-1m,5,9,6,56.59,33.59,1.685,1.365
15,5,25,55,0.7,6m-1m,4,9,4,66.52,39.51,1.684,1.405
25,10,25,40,0.4,6m,5,9,4,59.39,35.31,1.682,1.315
25,10,20,45,0.4,6m-1m,4,8,4,65.22,38.84,1.679,1.419
10,15,25,50,0.3,6m-1m,6,8,4,61.67,36.81,1.675,1.374
20,5,25,50,0.5,6m-1m,6,7,6,63.51,37.92,1.675,1.454
15,10,25,50,0.5,6m-1m,4,8,4,70.29,41.95,1.675,1.458
15,5,25,55,0.7,6m-1m,5,9,5,61.22,36.56,1.674,1.402
15,5,30,50,0.6,6m-1m,4,7,4,72.82,43.56,1.672,1.489
20,5,25,50,0.6,6m-1m,5,8,4,68.52,40.97,1.672,1.453
20,10,20,50,0.6,6m-1m,4,9,7,62.98,37.69,1.671,1.426
15,5,30,50,0.6,6m-1m,6,8,6,65.8,39.44,1.668,1.497
25,5,35,35,0.3,6m-1m,5,9,6,56.71,34.04,1.666,1.376
25,10,20,45,0.3,6m-1m,6,8,6,58.44,35.1,1.665,1.404
20,5,25,50,0.6,6m-1m,6,8,4,67.43,40.53,1.664,1.442
20,10,20,50,0.6,6m-1m,4,9,5,61.63,37.05,1.663,1.395
20,5,25,50,0.5,6m-1m,6,8,6,61.95,37.25,1.663,1.437
