v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
15,0,60,25,0.7,12m-1m,4,9,4,87.94,46.73,1.882,1.628
15,0,60,25,0.7,12m-1m,4,9,2,102.6,54.57,1.88,1.526
10,0,60,30,0.7,12m-1m,6,9,2,106.84,56.87,1.879,1.568
10,0,60,30,0.7,12m-1m,5,9,2,106.84,56.87,1.879,1.568
20,5,50,25,0.8,12m,6,9,4,77.11,41.06,1.878,1.495
25,0,50,25,0.6,12m,5,8,4,67.1,35.76,1.876,1.389
10,0,60,30,0.7,12m-1m,4,7,2,114.93,61.46,1.87,1.624
10,0,60,30,0.7,12m-1m,4,8,4,85.44,45.79,1.866,1.598
20,5,50,25,0.8,12m,4,9,4,75.24,40.38,1.864,1.455
20,0,55,25,0.6,12m,5,7,4,76.05,40.82,1.863,1.49
20,5,50,25,0.8,12m,4,8,4,73.96,39.94,1.852,1.439
25,0,50,25,0.5,12m,4,7,3,74.17,40.1,1.85,1.403
15,5,65,15,0.6,12m-1m,5,9,2,83.42,45.12,1.849,1.363
15,5,65,15,0.6,12m-1m,5,7,3,68.65,37.12,1.849,1.326
15,5,65,15,0.6,12m-1m,6,9,2,83.42,45.12,1.849,1.363
15,0,60,25,0.7,12m-1m,4,8,4,86.02,46.62,1.845,1.612
15,0,70,15,0.8,12m-1m,4,9,3,75.6,41.18,1.836,1.391
10,0,60,30,0.7,12m-1m,4,7,4,83.7,45.74,1.83,1.572
15,5,60,20,0.6,12m-1m,4,8,4,78.47,42.93,1.828,1.501
20,5,50,25,0.8,12m,6,8,2,98.42,53.9,1.826,1.463
15,5,60,20,0.6,12m-1m,6,8,4,72.06,39.47,1.826,1.452
20,5,50,25,0.8,12m,5,8,2,98.42,53.9,1.826,1.463
10,0,65,25,0.7,12m-1m,4,7,2,93.9,51.45,1.825,1.472
20,5,50,25,0.8,12m,5,7,4,76.14,41.88,1.818,1.497
0,0,75,25,0.4,12m,6,9,4,80.31,44.42,1.808,1.518
20,5,60,15,0.7,12m,4,8,4,71.43,39.53,1.807,1.421
20,5,60,15,0.6,12m,5,8,4,74.2,41.05,1.807,1.47
20,5,50,25,0.8,12m,6,7,2,99.03,54.87,1.805,1.48
20,5,50,25,0.8,12m,5,7,2,99.03,54.87,1.805,1.48
0,0,75,25,0.4,12m,5,8,4,75.63,41.96,1.802,1.475
20,5,60,15,0.6,12m,4,8,4,72.74,40.43,1.799,1.423
15,0,60,25,0.7,12m-1m,6,9,2,98.1,54.57,1.798,1.486
15,0,60,25,0.7,12m-1m,5,9,2,98.1,54.57,1.798,1.486
15,5,60,20,0.6,12m-1m,4,9,2,80.53,44.81,1.797,1.339
